AL,d,DeltaA,mae_d1,mae_d2,mae_d3,mae_oracle
1.0,10.0,1.0,0.04536062091814871,0.040507196021454625,0.042860522459364135,0.006248761226720331
1.0,12.0,1.0,0.02534547218877379,0.02940352248237068,0.029696429799577505,0.00530753228455956
1.0,4.0,1.0,0.02841919213639621,0.03469415118217463,0.029618092658251292,0.0035111556546684724
1.0,6.0,1.0,0.03684689774540129,0.030825019273405224,0.03393615263163866,0.006343315755820757
1.0,8.0,1.0,0.04965995808322756,0.043501219366686196,0.04669926456487227,0.006019804547584141
1.2,10.0,0.8,0.031523706988303486,0.033560121285201,0.03396993908751423,0.005988058901812227
1.2,4.0,0.8,0.028587305663373586,0.03585139965768969,0.0316500946367796,0.0035571549140027974
1.2,6.0,0.8,0.04056107838973766,0.0362870975987646,0.03765085343065207,0.0060701873823284635
1.2,8.0,0.8,0.04225798203514291,0.04077057160457918,0.041625918119633405,0.005948316987584093
1.5,10.0,0.5,0.020456619383468832,0.030718350313419168,0.02917080637070194,0.004824173752350157
1.5,12.0,0.5,0.01882954600754857,0.027707483735445924,0.025310644810882583,0.002388024895986493
1.5,4.0,0.5,0.029933246629171278,0.037473269515169695,0.03308364409285297,0.002940537978111266
1.5,6.0,0.5,0.03403790070528921,0.03453734025887878,0.03519817234682777,0.005951250845000845
1.5,8.0,0.5,0.028486878027778936,0.034021007649445816,0.0339889078181709,0.005997562188029395
1.8,10.0,0.19999999999999996,0.019768633180896538,0.028384458062320993,0.027387916519986556,0.004596435318033969
1.8,4.0,0.19999999999999996,0.028131030903134943,0.032350769002872634,0.03189832617232533,0.0027223012255757034
1.8,6.0,0.19999999999999996,0.027743091098297337,0.031645239566455596,0.029760677018525406,0.005059034914753157
1.8,8.0,0.19999999999999996,0.022251132382196386,0.03040871058083928,0.029824519194282414,0.006331200041787941
2.0,10.0,0.0,0.011553125398166525,0.023343115516787975,0.020548043899059103,0.00473881449396239
