AL,d,DeltaA,k,sigma_k,mae_d1
1.0,4.0,1.0,3,0.019724600066124663,0.028550154422521106
1.0,4.0,1.0,5,0.021230186312833965,0.028550154422521106
1.0,4.0,1.0,7,0.022673190682462444,0.028550154422521106
1.0,4.0,1.0,10,0.024268068805363727,0.028550154422521106
1.0,4.0,1.0,15,0.028525159699308397,0.028550154422521106
1.0,4.0,1.0,20,0.03328550156166236,0.028550154422521106
1.0,6.0,1.0,3,0.03152400711594703,0.036370081021734765
1.0,6.0,1.0,5,0.032348410888358596,0.036370081021734765
1.0,6.0,1.0,7,0.033990851607787136,0.036370081021734765
1.0,6.0,1.0,10,0.03614453634248163,0.036370081021734765
1.0,6.0,1.0,15,0.03864261641347049,0.036370081021734765
1.0,6.0,1.0,20,0.04213982997595052,0.036370081021734765
1.0,8.0,1.0,3,0.03886829358373843,0.04874653215215317
1.0,8.0,1.0,5,0.039082203986869304,0.04874653215215317
1.0,8.0,1.0,7,0.04103077652685832,0.04874653215215317
1.0,8.0,1.0,10,0.04561512450475562,0.04874653215215317
1.0,8.0,1.0,15,0.048662346976947574,0.04874653215215317
1.0,8.0,1.0,20,0.05342082045171866,0.04874653215215317
1.0,10.0,1.0,3,0.03403063554165259,0.04456884115799673
1.0,10.0,1.0,5,0.033293303999787006,0.04456884115799673
1.0,10.0,1.0,7,0.03573842092856713,0.04456884115799673
1.0,10.0,1.0,10,0.04021722860758215,0.04456884115799673
1.0,10.0,1.0,15,0.04419501419409036,0.04456884115799673
1.0,10.0,1.0,20,0.04904353082888603,0.04456884115799673
1.0,12.0,1.0,3,0.013382668761938672,0.024480891357653307
1.0,12.0,1.0,5,0.01514554056725382,0.024480891357653307
1.0,12.0,1.0,7,0.01806071885484361,0.024480891357653307
1.0,12.0,1.0,10,0.022744906877637514,0.024480891357653307
1.0,12.0,1.0,15,0.027838678676004307,0.024480891357653307
1.0,12.0,1.0,20,0.03381506699495539,0.024480891357653307
1.2,4.0,0.8,3,0.018152159194858023,0.030273808919274697
1.2,4.0,0.8,5,0.020193655954801375,0.030273808919274697
1.2,4.0,0.8,7,0.021580958553348562,0.030273808919274697
1.2,4.0,0.8,10,0.023658561062357475,0.030273808919274697
1.2,4.0,0.8,15,0.028486336188506885,0.030273808919274697
1.2,4.0,0.8,20,0.03383538238724551,0.030273808919274697
1.2,6.0,0.8,3,0.03037955589449061,0.03976353583554079
1.2,6.0,0.8,5,0.03086795159342891,0.03976353583554079
1.2,6.0,0.8,7,0.03259700404672133,0.03976353583554079
1.2,6.0,0.8,10,0.03554084051514089,0.03976353583554079
1.2,6.0,0.8,15,0.04019128484575006,0.03976353583554079
1.2,6.0,0.8,20,0.04427725477114358,0.03976353583554079
1.2,8.0,0.8,3,0.030725064527065398,0.04227794893331024
