system,AL,d,ell,MAE_per_ell_valid,MAE_common_grid
DA1.0_d10,1.0,10.0,0.0,0.045901277658962604,0.037296927671186045
DA1.0_d10,1.0,10.0,0.5,0.03565657674161973,0.016135355408389212
DA1.0_d10,1.0,10.0,1.0,0.03439769433154382,0.013933646301164185
DA1.0_d10,1.0,10.0,2.0,0.02602070825509818,0.005249979802739745
DA1.0_d10,1.0,10.0,4.0,0.0027996354466694674,0.00025858197296898747
DA1.0_d10,1.0,10.0,8.0,0.00013420298080250395,0.00013420298080250395
DA1.0_d6,1.0,6.0,0.0,0.03826152131999522,0.04152802555688089
DA1.0_d6,1.0,6.0,0.5,0.0265944297365066,0.01759119325304972
DA1.0_d6,1.0,6.0,1.0,0.023827138505677487,0.013091576813702276
DA1.0_d6,1.0,6.0,2.0,0.016342081665343844,0.004265517907585987
DA1.0_d6,1.0,6.0,4.0,0.006883168457253612,0.00018838594104873065
DA1.0_d6,1.0,6.0,8.0,0.00020472497486754554,0.00020472497486754554
DA0.5_d10,1.5,10.0,0.0,0.019019004199085674,0.010783120693334175
DA0.5_d10,1.5,10.0,0.5,0.025924605033099596,0.01343340005028501
DA0.5_d10,1.5,10.0,1.0,0.0197280028875314,0.009224088132152005
DA0.5_d10,1.5,10.0,2.0,0.009089994971563374,0.004058107956986094
DA0.5_d10,1.5,10.0,4.0,0.000237313528087718,0.0003435024882929124
DA0.5_d10,1.5,10.0,8.0,0.00012731223050597618,0.00012731223050597618
